chr21	16512895	16513163	1
chr2	43019692	43019960	1
chr14	39735695	39735963	1
chr20	45295673	45295941	1
chr20	33914917	33915185	1
chr19	952613	952881	1
chr20	17844430	17844698	1
chr4	17560870	17561138	1
chr9	90184121	90184389	1
chr17	57542530	57542798	1
chr20	4116069	4116337	1
chr14	23445905	23446173	1
chr14	24777077	24777345	1
chr2	138721680	138721948	1
chr16	9081248	9081516	1
chr20	52417451	52417719	1
chr6	16822245	16822513	1
chr8	39912207	39912475	1
chr5	133434388	133434656	1
chr6	49734557	49734825	1
chr17	78603431	78603699	1
chr6	167722224	167722492	1
chr14	24582979	24583247	1
chr2	85534110	85534378	1
chr1	169117778	169118046	1
chr14	95060343	95060611	1
chr19	42758041	42758309	1
chr7_gl000195_random	11945	12213	1
chr7	37982860	37983128	1
chr16	27285242	27285510	1
chr6	64223972	64224240	1
chr20	32899160	32899428	1
chr6	168076814	168077082	1
chr19	39192105	39192373	1
chr2	146518914	146519182	1
chr2	201827845	201828113	1
chr9	104086692	104086960	1
chr11	116679077	116679345	1
chr16	21272259	21272527	1
chr12	111013195	111013463	1
chr14	37935841	37936109	1
chr6	145588288	145588556	1
chr2	168671903	168672171	1
chr16	12897614	12897882	1
chr20	49362970	49363238	1
chr2	61245267	61245535	1
chr6	89419688	89419956	1
chr7	155475223	155475491	1
chr16	12305371	12305639	1
chr16	8957446	8957714	1
chr20	48922458	48922726	1
chr2	219309509	219309777	1
chr3	10359057	10359325	1
chr20	45862233	45862501	1
chr2	128212812	128213080	1
chr14	70785098	70785366	1
chr17	72746685	72746953	1
chr19	4052691	4052959	1
chr7_gl000195_random	74455	74723	1
chr1	119503263	119503531	1
chr2	204648222	204648490	1
chr2	219265705	219265973	1
chr16	20610130	20610398	1
chr16	79931554	79931822	1
chr20	42281584	42281852	1
chr2	21266891	21267159	1
chr2	228686245	228686513	1
chr3	123324706	123324974	1
chr6	56264504	56264772	1
chr8	98175672	98175940	1
chr13	33700235	33700503	1
chr20	31273637	31273905	1
chr20	48304738	48305006	1
chr17	8323693	8323961	1
chr2	231915097	231915365	1
chr6	7043250	7043518	1
chr6	43235513	43235781	1
chr6	64275430	64275698	1
chr16	88554475	88554743	1
chr17	80699364	80699632	1
chr20	30284035	30284303	1
chr20	46339955	46340223	1
chr1	11731625	11731893	1
chr2	227483566	227483834	1
chr6	132280082	132280350	1
chr6	157952091	157952359	1
chr14	21572318	21572586	1
chr14	25308747	25309015	1
chr16	5184865	5185133	1
chr2	74716184	74716452	1
chr2	182170290	182170558	1
chr5	149922566	149922834	1
chr6	151441184	151441452	1
chr8	144640678	144640946	1
chr17	26695256	26695524	1
chr20	61548189	61548457	1
chr1	156341690	156341958	1
chr5	172285734	172286002	1
chr6	36534337	36534605	1
chr6	158743803	158744071	1
chr20	5192615	5192883	1
chr5	42811935	42812203	1
chr6	52453970	52454238	1
chr9	107651959	107652227	1
chr16	22692091	22692359	1
chr20	30198449	30198717	1
chr2	106647458	106647726	1
chr2	208599512	208599780	1
chr6	43242898	43243166	1
chr20	44519742	44520010	1
chr20	52720607	52720875	1
chr2	74729505	74729773	1
chr2	216613998	216614266	1
chr2	227625510	227625778	1
chr11	707355	707623	1
chr12	121416167	121416435	1
chr14	34504437	34504705	1
chr1	46008374	46008642	1
chr1	230864819	230865087	1
chr6	43739304	43739572	1
chr16	87584074	87584342	1
chr17	79958746	79959014	1
chr20	17702684	17702952	1
chr3	66531506	66531774	1
chr4	12935294	12935562	1
chr4	74297884	74298152	1
chr10	114021132	114021400	1
chr11	111230977	111231245	1
chr15	80271380	80271648	1
chr16	4207337	4207605	1
chr17	76588237	76588505	1
chr1	11902818	11903086	1
chr2	238499193	238499461	1
chr4	1797446	1797714	1
chr6	64101489	64101757	1
chr6	138825273	138825541	1
chr7	43944777	43945045	1
chr11	68065632	68065900	1
chr17	72438787	72439055	1
chr20	30877511	30877779	1
chr1	15911514	15911782	1
chr5	95162971	95163239	1
chr5	135309126	135309394	1
chr14	23435146	23435414	1
chr14	95065698	95065966	1
chr17	36770345	36770613	1
chr17	41653998	41654266	1
chr20	48200630	48200898	1
chr2	8749618	8749886	1
chr8	144816112	144816380	1
chr16	13363970	13364238	1
chr17	73305138	73305406	1
chr20	10546339	10546607	1
chr2	20796852	20797120	1
chr2	138868076	138868344	1
chr3	150916189	150916457	1
chr5	55229926	55230194	1
chr6	52590566	52590834	1
chr7	75549904	75550172	1
chr10	104813628	104813896	1
chr11	61740526	61740794	1
chr12	125306297	125306565	1
chr14	21154683	21154951	1
chr14	24078765	24079033	1
chr16	10741635	10741903	1
chr17	66790078	66790346	1
chr17	72760101	72760369	1
chr17	79868317	79868585	1
chr18	72209226	72209494	1
chr19	6720748	6721016	1
chr21	16261437	16261705	1
chr1	160983655	160983923	1
chr2	97484986	97485254	1
chr2	176471190	176471458	1
chr6	43237867	43238135	1
chr9	107662099	107662367	1
chr14	35156728	35156996	1
chr16	1875483	1875751	1
chr16	50581205	50581473	1
chr16	89638976	89639244	1
chr17	37851689	37851957	1
chr20	22505726	22505994	1
chr20	35097055	35097323	1
chr1	12588408	12588676	1
chr2	27315882	27316150	1
chr2	91845269	91845537	1
chr4	125451839	125452107	1
chr5	95322716	95322984	1
chr5	142934831	142935099	1
chr10	44754706	44754974	1
chr13	21132078	21132346	1
chr14	39493364	39493632	1
chr14	100018979	100019247	1
chr16	81625987	81626255	1
chr17	67043484	67043752	1
chr20	377551	377819	1
chr20	23642139	23642407	1
chr20	36133742	36134010	1
chr20	49360971	49361239	1
chr20	62369362	62369630	1
chr22	25798543	25798811	1
chr1	3237152	3237420	1
chr1	174912052	174912320	1
chr2	38660150	38660418	1
chr2	202013866	202014134	1
chr2	216943489	216943757	1
chr3	30300536	30300804	1
chr3	138581939	138582207	1
chr3	170049043	170049311	1
chr5	179107440	179107708	1
chr6	53480494	53480762	1
chr6	132216315	132216583	1
chr6	167755580	167755848	1
chr14	38334276	38334544	1
chr16	1878871	1879139	1
chr17	6603416	6603684	1
chr17	55595119	55595387	1
chr18	77694762	77695030	1
